nom,code_region,code_departement,nb-ptf,nb-datagouv,pop-insee,CSP_chef,age_chef,partis_po_chef,part_plus65,nb_crea_entps,flux_migration_res,part_diplomes,depenses_hab,nb_etudiants,part_etudiants,niveau_rural,densite
Bénonces,84,1,,,298,Professions rattachées à enseignt.,56,,22.1,2,null,5.8,1994.56345637584,,,6,4
Bény,84,1,,,783,Employés (autres entrep. publiques),63,,18.5,5,null,4.1,804.425670498084,,,3,3
Béon,84,1,,,472,Agents d'assurances,57,,18.5,7,null,4.7,1022.77065677966,,,5,3
Béréziat,84,1,,,501,Retraités salariés privés,69,,12.6,2,null,1.5,638.163652694611,,,4,3
Bettant,84,1,,,771,Retraités des entreprises publiques,65,,17.2,3,null,5.5,880.917068741894,,,2,2
Bey,84,1,,,290,Retraités de l'enseignement,71,,16.3,3,null,4.5,910.955689655172,,,3,3
Beynost,84,1,,,4674,Sans profession déclarée,55,,18.1,77,null,17.1,2172.98951005563,,,2,2
Billiat,84,1,,,626,Retraités fonct.publique (sf enseig.),65,,15.3,4,null,5.3,3285.6453514377,,,4,3
Birieux,84,1,,,289,Retraités salariés privés,80,,13.5,3,null,9,905.802629757785,,,3,4
Biziat,84,1,,,866,Industriels-Chefs entreprise,58,,13.7,8,null,3.5,960.353729792148,,,5,3
Blyes,84,1,,,1017,Agriculteurs propriétaires exploit.,70,,11.2,21,null,8.2,4021.01593903638,,,4,3
La Boisse,84,1,,,3074,Retraités salariés privés,71,,16.2,34,null,8.7,894.930770982433,,,2,2
Boissey,84,1,,,345,Retraités fonct.publique (sf enseig.),71,,14.2,1,null,3,1099.51663768116,,,4,3
Bolozon,84,1,,,90,Retraités des entreprises publiques,69,,30.3,3,null,0,2425.21733333333,,,6,4
Bouligneux,84,1,,,325,Professeurs du secondaire et techn.,53,,23.8,2,null,9.5,1177.10941538462,,,4,4
Bourg-en-Bresse,84,1,,,43454,Grands corps de l'état,55,Parti socialiste,22.1,574,01289,7.4,1794.27441478345,2513,5.8,2,2
Bourg-Saint-Christophe,84,1,,,1353,Agriculteurs propriétaires exploit.,69,,11.9,15,null,12.1,1251.51784922395,,,3,3
Boyeux-Saint-Jérôme,84,1,,,360,Cadres (entreprises publiques),56,,21.7,2,null,5.5,982.364666666667,,,6,4
Boz,84,1,,,525,Fonctionnaires de catégorie C,62,,14.7,7,null,1.9,1162.61796190476,,,3,3
Brégnier-Cordon,84,1,,,868,Fonctionnaires de catégorie C,32,,18.1,12,null,4.5,1607.83256912442,,,5,3
Brénod,84,1,,,544,Sans profession déclarée,67,,25.3,7,null,5.3,1290.73068014706,,,5,3
Brens,84,1,,,1196,Employés (autres entrep. publiques),61,,14,17,null,5.8,764.70652173913,,,5,3
Bressolles,84,1,,,912,Fonctionnaires de catégorie B,52,,15.4,13,null,13.3,1320.84800438596,,,2,2
Brion,84,1,,,523,Retraités salariés privés,79,,24.2,6,null,4.9,3100.85956022945,,,2,2
Briord,84,1,,,1004,Administrateurs de sociétés,66,,11.1,6,null,1.2,1414.14295816733,,,5,3
Buellas,84,1,,,1814,Agriculteurs propriétaires exploit.,67,,19.8,11,null,9.1,1172.14752480706,,,3,3
La Burbanche,84,1,,,71,Contremaitres,63,,16.9,3,null,7.7,2948.09,,,6,4
Ceignes,84,1,,,264,Enseignants 1er deg.-directeurs école,60,,9.4,3,null,7.7,785.370378787879,,,6,4
Cerdon,84,1,,,798,Retraités agricoles,72,,21.2,14,null,5,1493.88359649123,,,5,3
Certines,84,1,,,1573,Contremaitres,58,,13.9,18,null,7,1322.58999364272,,,3,3
Cessy,84,1,,,4955,Pharmaciens,58,,8.7,53,null,20.2,1393.03594349142,,,2,2
Ceyzériat,84,1,,,3203,Autres cadres (secteur privé),62,,20.4,22,null,10.6,926.334767405557,,,3,3
Ceyzérieu,84,1,,,1038,Retraités salariés privés,75,,24.1,11,null,9.2,817.7291522158,,,5,3
Chalamont,84,1,,,2438,Professeurs du secondaire et techn.,60,,18.9,20,null,4.7,1201.8008121411,,,4,3
Chaleins,84,1,,,1329,Industriels-Chefs entreprise,80,,10.5,19,null,4,621.802242287434,,,4,3
Chaley,84,1,,,138,Autres cadres (secteur privé),72,,33.1,0,null,6.2,2009.35565217391,,,6,4
Challes-la-Montagne,84,1,,,195,Salariés du secteur médical,65,,19.2,0,null,3.4,1167.83692307692,,,6,4
Challex,84,1,,,1467,Sans profession déclarée,56,,16,7,null,17.1,1343.47379004772,,,2,2
Champagne-en-Valromey,84,1,,,850,Agriculteurs propriétaires exploit.,68,,31.9,5,null,5.7,1174.4082,,,5,3
Champdor-Corcelles,84,1,,,672,Agriculteurs propriétaires exploit.,51,,20.7,1,null,3.9,1751.75873511905,,,5,3
Champfromier,84,1,,,744,Commercants,62,,19.9,6,null,4.1,2266.8736155914,,,5,3
Chanay,84,1,,,647,Retraités fonct.publique (sf enseig.),63,,12.5,3,null,8.2,1402.74826893354,,,4,3
Chaneins,84,1,,,913,Industriels-Chefs entreprise,51,,13.4,11,null,4.8,1397.06519167579,,,5,3
Chanoz-Châtenay,84,1,,,851,Agents technique et techniciens,52,,13.7,5,null,5.2,647.81089306698,,,4,3
La Chapelle-du-Châtelard,84,1,,,392,Agriculteurs propriétaires exploit.,61,,14.6,4,null,4.3,600.232551020408,,,4,3
Charix,84,1,,,295,Fonctionnaires de catégorie C,57,,20.4,6,null,6.8,1452.93674576271,,,4,4
Charnoz-sur-Ain,84,1,,,951,Professeurs de faculté,72,,11.5,10,null,9.8,1113.0531019979,,,3,3
Château-Gaillard,84,1,,,2138,Industriels-Chefs entreprise,66,,12.6,22,null,5.3,1639.1826847521,,,4,3
Châtenay,84,1,,,342,Agriculteurs propriétaires exploit.,49,,22.2,3,null,7.6,1232.60108187135,,,6,4
Châtillon-la-Palud,84,1,,,1649,Retraités salariés privés,73,,17.1,22,null,6.5,1161.6906852638,,,4,3
Châtillon-sur-Chalaronne,84,1,,,5095,Journalistes et autres médias,54,,27.2,61,null,4.9,1926.41808832188,,,5,3
Chavannes-sur-Reyssouze,84,1,,,764,Retraités agricoles,72,,20.1,3,null,3,830.009384816754,,,4,3
Nivigne et Suran,84,1,,,816,Agriculteurs propriétaires exploit.,60,,15.8,5,null,6.4,1327.76262254902,,,3,4
Chaveyriat,84,1,,,1036,Agents technique et techniciens,64,,14.6,7,null,3,1032.24075289575,,,3,3
Chazey-Bons,84,1,,,1113,Ingénieurs,61,,19.7,9,null,3.6,835.68008984726,,,5,3
Chazey-sur-Ain,84,1,,,1549,Retraités fonct.publique (sf enseig.),73,,14.6,13,null,7.7,821.416920593932,,,4,3
Cheignieu-la-Balme,84,1,,,142,Agents technique et techniciens,63,,36.6,5,null,2.7,1582.92183098592,,,6,4
Chevillard,84,1,,,162,Autres cadres (secteur privé),60,,15.4,0,null,5.8,1494.34320987654,,,6,4
Chevroux,84,1,,,974,Autres cadres (secteur privé),59,,13.4,9,null,2.4,710.01887063655,,,4,3
Chevry,84,1,,,1700,Retraités salariés privés,73,,8.6,10,null,21,1855.9682,,,2,2
Chézery-Forens,84,1,,,471,Retraités fonct.publique (sf enseig.),64,,17.8,3,null,5.6,2623.79422505308,,,5,3
Civrieux,84,1,,,1684,Retraités de l'enseignement,72,,12.4,30,null,11.7,879.517345605701,,,3,3
Cize,84,1,,,174,Agriculteurs propriétaires exploit.,56,,22.3,0,null,3,980.760287356322,,,3,4
Cleyzieu,84,1,,,137,Retraités de l'enseignement,71,,22.2,3,null,7.6,4408.28547445256,,,6,4
Coligny,84,1,,,1212,Artisans,60,,31.1,14,null,4.2,1166.64150165017,,,3,3
Collonges,84,1,,,2272,Retr.artis.commerc.chefs d'entrep.,74,,9.4,20,null,12.1,1118.43221390845,,,4,3
Colomieu,84,1,,,132,Retraités des professions libérales,75,,21.2,0,null,7.3,1123.80022727273,,,6,4
Conand,84,1,,,122,Retraités salariés privés,68,,21.2,3,null,5.1,1356.06655737705,,,6,4
Condamine,84,1,,,451,Retraités salariés privés,69,,9.3,3,null,4.9,696.477583148559,,,5,3
Condeissiat,84,1,,,832,Retraités salariés privés,72,,16.3,2,null,6.1,941.713605769231,,,4,3
Confort,84,1,,,631,Retraités des entreprises publiques,67,,25.2,7,null,6.4,1712.03472266244,,,4,3
Confrançon,84,1,,,1360,Retraités fonct.publique (sf enseig.),67,,13,12,null,3.1,1144.56880147059,,,3,3
Contrevoz,84,1,,,515,Retraités fonct.publique (sf enseig.),69,,24.7,3,null,3.7,958.83040776699,,,5,3
Conzieu,84,1,,,154,Retraités des entreprises publiques,78,,16.6,1,null,7.8,2100.18071428571,,,6,4
Corbonod,84,1,,,1290,Retraités fonct.publique (sf enseig.),75,,20.2,13,null,4.5,1261.48241860465,,,5,3
Corlier,84,1,,,114,Fonctionnaires de catégorie C,58,,13.8,2,null,5.7,1216.88342105263,,,6,4
Cormoranche-sur-Saône,84,1,,,1153,Autres cadres (secteur privé),65,,18.9,5,null,4.6,760.653850823938,,,4,3
Cormoz,84,1,,,677,Artisans,67,,22.7,8,null,2.4,854.988493353028,,,4,3
Corveissiat,84,1,,,636,Fonctionnaires de catégorie C,64,,17.3,8,null,4.6,1051.93205974843,,,4,3
Courmangoux,84,1,,,514,Employés (secteur privé),62,,25,4,null,4.7,732.60813229572,,,3,3
Courtes,84,1,,,312,Fonctionnaires de catégorie A,50,,17.9,4,null,2.8,764.753814102564,,,5,3
Crans,84,1,,,267,Ingénieurs,69,,21.9,4,null,6.2,1128.04700374532,,,4,4
Bresse Vallons,84,1,,,2307,Cadres supérieurs (secteur privé),50,,12.8,17,null,4.3,1452.6818118769,,,3,3
Cressin-Rochefort,84,1,,,404,Cadres supérieurs (secteur privé),56,,16.6,4,null,4.6,1546.67834158416,,,5,3
Crottet,84,1,,,1784,Retr.artis.commerc.chefs d'entrep.,74,,18,17,null,4.7,742.406989910314,,,3,3
Crozet,84,1,,,2193,Employés (secteur privé),68,,11.2,19,null,23.9,1100.10443228454,,,2,2
Cruzilles-lès-Mépillat,84,1,,,880,Ingénieurs,67,,15.9,9,null,3.6,989.760670454545,,,4,3
Culoz,84,1,,,3109,Fonctionnaires de catégorie C,57,,19.6,28,null,3.4,1651.08961724027,,,5,3
Curciat-Dongalon,84,1,,,448,Fonctionnaires de catégorie B,64,,26.8,0,null,1.2,594.485424107143,,,4,3
Curtafond,84,1,,,788,Retraités salariés privés,70,,22.1,8,null,2.8,1042.40760152284,,,3,3
Cuzieu,84,1,,,449,Retraités salariés privés,75,,21.9,4,null,4.3,506.358663697105,,,5,3
Dagneux,84,1,,,4768,Autres retraités,67,,13.3,50,null,8.2,1042.81754404362,,,2,2
Divonne-les-Bains,84,1,,,9692,Ingénieurs,42,,15.4,100,null,27.2,2068.02097090384,,,2,2
Dompierre-sur-Veyle,84,1,,,1185,Retraités fonct.publique (sf enseig.),70,,17.1,16,null,5.6,761.372700421941,,,4,3
Dompierre-sur-Chalaronne,84,1,,,441,Autres cadres (secteur privé),61,,11.4,3,null,6.7,941.323378684807,,,5,3
Domsure,84,1,,,488,Fonctionnaires de catégorie A,42,,21.2,3,null,3,710.197090163934,,,4,4
Dortan,84,1,,,1890,Retraités de l'enseignement,62,,17.3,9,null,3.8,908.341878306878,,,3,3
Douvres,84,1,,,1078,Retraités des entreprises publiques,68,,14.2,8,null,9.2,831.511178107607,,,5,3
Drom,84,1,,,222,Fonctionnaires de catégorie B,63,,13.1,2,null,8.1,898.178333333333,,,3,4
Druillat,84,1,,,1175,Ingénieurs,59,,23.1,13,null,4.3,579.686289361702,,,4,3
Échallon,84,1,,,780,Retraités salariés privés,68,,17.7,8,null,3.7,1754.68521794872,,,4,3
Échenevex,84,1,,,2247,Retraités des professions libérales,73,,11,23,null,30.4,1145.12806853583,,,2,2
Évosges,84,1,,,148,Retr.artis.commerc.chefs d'entrep.,71,,18.8,0,null,0,1838.77743243243,,,6,4
Faramans,84,1,,,813,Agriculteurs propriétaires exploit.,64,,13.2,7,null,5.5,1165.20560885609,,,3,3
Fareins,84,1,,,2253,Retraités des entreprises publiques,65,,19.3,25,null,8,675.897021748779,,,4,3
Farges,84,1,,,1028,Fonctionnaires de catégorie C,59,,12.1,13,null,14.1,1319.22741245136,,,4,3
Feillens,84,1,,,3372,Employés (secteur privé),62,divers droite,20.5,36,null,5.6,1008.93681494662,,,3,3
Ferney-Voltaire,84,1,,,9800,Fonctionnaires de catégorie B,65,Union des démocrates et indépendants,12.7,131,01313,29.2,2554.31705510204,49,0.5,2,2
Flaxieu,84,1,,,69,Retraités de l'enseignement,65,,21.5,0,null,8.7,1454.13550724638,,,5,3
Foissiat,84,1,,,2100,Retraités agricoles,75,,19.2,20,null,2.6,483.147223809524,,,4,3
Francheleins,84,1,,,1606,Autres cadres (secteur privé),60,,11.2,16,null,4.7,449.641419676214,,,5,3
Frans,84,1,,,2388,Professeurs du secondaire et techn.,65,,15.7,29,null,6.4,839.87899078727,,,2,2
Garnerans,84,1,,,680,Ingénieurs conseils,60,,18,4,null,4.9,554.407941176471,,,4,3
Genouilleux,84,1,,,619,Retr.artis.commerc.chefs d'entrep.,74,,11.5,4,null,5.6,541.904458804523,,,2,2
Béard-Géovreissiat,84,1,,,1066,Agents technique et techniciens,53,,8.6,8,null,3.5,680.363621013133,,,2,2
Géovreisset,84,1,,,937,Retraités salariés privés,73,,14.3,7,null,4.9,1000.42829242263,,,2,2
Gex,84,1,,,12894,Autres cadres (secteur privé),52,divers droite,9.7,132,null,15.6,1434.21918566775,,,2,2
Giron,84,1,,,184,Propriétaires,58,,16.8,3,null,7,2171.46907608696,,,6,4
Gorrevod,84,1,,,882,Retr.artis.commerc.chefs d'entrep.,80,,19.9,5,null,4.2,860.037653061225,,,4,3
Grand-Corent,84,1,,,181,Agriculteurs propriétaires exploit.,70,Parti radical de gauche,27.9,1,null,7.2,831.209944751381,,,3,4
Grièges,84,1,,,1942,Employés (secteur privé),63,,20.8,10,null,4.3,591.557863027806,,,3,3
Grilly,84,1,,,827,Employés (autres entrep. publiques),51,,17.7,11,null,24.4,1759.85678355502,,,4,3
Groissiat,84,1,,,1256,Agents généraux d'assurances,69,,18,13,null,4.5,876.118089171975,,,3,3
Guéreins,84,1,,,1461,Retraités salariés privés,70,,16.7,20,null,3.9,867.264982888433,,,2,2
Hautecourt-Romanèche,84,1,,,806,Fonctionnaires de catégorie C,46,,20.6,0,null,4,449.113312655087,,,3,3
Plateau d'Hauteville,84,1,,,5025,Employés (secteur privé),58,,27.5,29,null,4.6,1486.82871641791,159,3.2,5,3
Haut Valromey,84,1,,,727,Ouvriers (secteur privé),55,,25,12,null,8.1,3936.82954607978,,,6,4
Illiat,84,1,,,632,Autres retraités,73,,16.8,8,null,3.4,656.451962025317,,,5,3
Injoux-Génissiat,84,1,,,1181,Employés (autres entrep. publiques),60,,13.1,7,null,6.8,2110.81766299746,,,4,3
Innimond,84,1,,,101,Industriels-Chefs entreprise,57,,29.2,1,null,7,1466.08188118812,,,6,4
Izenave,84,1,,,166,Agents technique et techniciens,56,,22.4,2,null,2.4,1448.50126506024,,,6,4
Izernore,84,1,,,2318,Retraités des entreprises publiques,73,,14.2,14,null,4.4,2009.72283433995,,,4,3
Izieu,84,1,,,244,Agriculteurs propriétaires exploit.,56,,26.6,1,null,7.3,1341.62032786885,,,5,3
Jassans-Riottier,84,1,,,6516,Médecins,72,,19.7,68,null,4.9,1207.5517495396,,,2,2
Jasseron,84,1,,,1814,Cadres (entreprises publiques),62,,20.9,12,null,7.2,642.027783902977,,,3,3
Jayat,84,1,,,1179,Retr.artis.commerc.chefs d'entrep.,71,,14.4,8,null,2.8,847.555513146735,,,3,3
Journans,84,1,,,369,Fonctionnaires de catégorie A,67,,20.6,3,null,11.5,948.640081300813,,,3,3
Joyeux,84,1,,,277,Retraités agricoles,78,,11.9,4,null,8.3,889.931335740072,,,4,4
Jujurieux,84,1,,,2228,Professeurs du secondaire et techn.,54,,19.4,17,null,6.3,954.309272890485,,,5,3
Labalme,84,1,,,214,Employés (secteur privé),52,,14.5,6,null,3.3,3487.05308411215,,,6,4
Lagnieu,84,1,,,7234,Ingénieurs conseils,72,,19.5,57,null,5,1068.84424937794,,,2,2
Laiz,84,1,,,1252,Professeurs du secondaire et techn.,68,,15.5,11,null,4.8,852.906261980831,,,4,3
Le Poizat-Lalleyriat,84,1,,,728,Retraités salariés privés,75,,15.5,5,null,6.7,1851.44987637363,,,5,3
Lantenay,84,1,,,278,Retraités des entreprises publiques,66,,18.4,2,null,4.9,1053.83715827338,,,5,3
Lapeyrouse,84,1,,,336,Agriculteurs propriétaires exploit.,62,,11.1,6,null,9.7,840.642827380952,,,3,4
Lavours,84,1,,,133,Autres professions,55,,33.3,2,null,1.9,1481.98842105263,,,6,4
Léaz,84,1,,,734,Retraités salariés privés,69,,11.8,6,null,6.8,1283.33426430518,,,4,3
Lélex,84,1,,,229,Cadres supérieurs (secteur privé),64,,19.7,4,null,6,5263.71017467249,,,6,4
Lent,84,1,,,1452,Enseignants 1er deg.-directeurs école,59,,18.4,14,null,4,735.512190082645,,,3,3
Lescheroux,84,1,,,741,Fonctionnaires de catégorie A,49,,18.7,6,null,1.1,1178.3258974359,,,4,3
Leyment,84,1,,,1313,Fonctionnaires de catégorie B,45,,10.5,10,null,4.9,908.884714394516,,,4,3
Leyssard,84,1,,,157,Cadres (entreprises publiques),63,,16.9,4,null,8.4,2565.91974522293,,,4,4
Surjoux-Lhopital,84,1,,,129,Artisans,46,,16.8,1,null,3.8,3042.01240310078,,,4,4
Lhuis,84,1,,,910,Retraités salariés privés,74,,25.5,6,null,5.9,1030.21761538462,,,5,3
Lompnas,84,1,,,171,Retraités salariés privés,71,,21.3,0,null,6.8,1386.17883040936,,,6,4
Loyettes,84,1,,,3175,Retraités des entreprises publiques,63,,12.7,38,null,5.3,1431.75683464567,,,2,2
Lurcy,84,1,,,389,Enseignants 1er deg.-directeurs école,56,,19.5,6,null,7,605.392724935733,,,4,3
Magnieu,84,1,,,652,Retraités salariés privés,76,,17.1,4,null,4.8,1758.06513803681,,,5,3
Maillat,84,1,,,645,Industriels-Chefs entreprise,63,,17.6,5,null,6.8,1282.11674418605,,,5,3
Malafretaz,84,1,,,1213,Retraités salariés privés,71,,18.7,12,null,3.7,453.453734542457,,,3,3
Mantenay-Montlin,84,1,,,317,Retr.artis.commerc.chefs d'entrep.,70,,22.9,4,null,0.9,1247.36422712934,,,4,3
Manziat,84,1,,,2035,Fonctionnaires de catégorie C,53,,21.2,6,null,3,1121.28579361179,,,3,3
Marboz,84,1,,,2272,Fonctionnaires de catégorie A,66,,21.5,12,null,3.8,1487.17903609155,,,3,3
Marchamp,84,1,,,133,Experts comptables,78,,24.4,1,null,10.1,2917.53932330827,,,6,4
Marignieu,84,1,,,180,Agents technique et techniciens,63,,21.9,2,null,7.9,1152.42233333333,,,6,4
Marlieux,84,1,,,1163,Retraités des professions libérales,78,,15.5,6,null,5.5,1483.42834049871,,,4,3
Marsonnas,84,1,,,997,Retraités salariés privés,67,,18.7,6,null,4.7,883.311965897693,,,4,3
Martignat,84,1,,,1691,Retraités des entreprises publiques,72,,14.1,19,null,4.4,1232.0595209935,,,3,3
Massieux,84,1,,,2578,Retraités salariés privés,71,,15.6,24,null,9.3,950.1153064391,,,2,2
Massignieu-de-Rives,84,1,,,627,Agriculteurs propriétaires exploit.,40,,22.9,3,null,3,1111.34146730463,,,5,3
Matafelon-Granges,84,1,,,662,Fonctionnaires de catégorie B,67,,15.4,1,null,3.5,956.590709969789,,,3,4
Meillonnas,84,1,,,1354,Retr.artis.commerc.chefs d'entrep.,74,,20.8,14,null,7.7,1235.91616691285,,,3,3
Mérignat,84,1,,,130,Autres professions,72,,14.1,1,null,11.5,3219.92192307692,,,6,4
Messimy-sur-Saône,84,1,,,1241,Retraités salariés privés,70,,18.4,15,null,8.3,621.251966156326,,,4,3
Meximieux,84,1,,,7800,Retraités fonct.publique (sf enseig.),71,,15.8,83,null,9.9,1196.41628717949,,,2,2
Bohas-Meyriat-Rignat,84,1,,,915,Cadres sup. (entreprises publiques),69,,19.1,5,null,8,517.533661202186,,,3,3
Mézériat,84,1,,,2172,Agents d'affaires,68,,19,24,null,3.9,952.628232044199,,,4,3
Mijoux,84,1,,,352,Autres professions libérales,58,,13.5,6,null,12.4,3577.06607954545,,,4,4
Mionnay,84,1,,,2178,Agriculteurs propriétaires exploit.,66,,12.3,24,null,10,1322.91746097337,,,3,3
Miribel,84,1,,,9851,Sans profession déclarée,60,,15.6,143,null,10.9,1376.80539742158,,,2,2
Misérieux,84,1,,,2195,Retraités salariés privés,75,,13.3,11,null,8.4,450.209166287016,102,4.6,2,2
Mogneneins,84,1,,5,802,Retraités salariés privés,72,,17,7,null,7.4,718.806920199501,,,5,3
Montagnat,84,1,,,2009,Fonctionnaires de catégorie C,66,,18.6,32,null,10,888.768835241414,,,3,3
Montagnieu,84,1,,,623,Cadres (entreprises publiques),39,,17.8,6,null,3.9,1116.10895666132,,,5,3
Montanges,84,1,,,350,Cadres sup. (entreprises publiques),49,,16,5,null,5.6,1612.33648571429,,,4,4
Montceaux,84,1,,,1218,Retraités salariés privés,73,,12.7,8,null,4.7,543.118834154351,,,5,3
Montcet,84,1,,,689,Retraités des entreprises publiques,65,,11.9,5,null,4.3,1074.59846153846,,,3,3
Le Montellier,84,1,,,301,Agriculteurs propriétaires exploit.,50,,16,2,null,10.1,1271.96279069767,,,4,4
Monthieux,84,1,,,674,Architectes,68,,14.6,8,null,9.1,677.074599406528,,,3,3
Montluel,84,1,,,7106,Avocats,41,,18.3,90,null,7.9,1062.57038840417,27,0.4,2,2
Montmerle-sur-Saône,84,1,,,3877,Autres cadres (secteur privé),50,,19.5,31,null,6.2,876.11545266959,,,2,2
Montracol,84,1,,,1073,Ingénieurs,61,,16.5,4,null,4.6,573.543466915191,,,3,3
Montréal-la-Cluse,84,1,,,3480,Industriels-Chefs entreprise,61,,16.3,32,null,3.8,1380.15622701149,,,2,2
Montrevel-en-Bresse,84,1,,,2506,Fonctionnaires de catégorie A,68,,29.3,23,null,3.1,1395.86929768555,,,3,3
Nurieux-Volognat,84,1,,,1054,Retraités des entreprises publiques,72,,17,9,null,3.2,1196.0540227704,,,4,3
Murs-et-Gélignieux,84,1,,,260,Retraités salariés privés,72,,25.2,2,null,7.7,1698.43319230769,,,5,3
Nantua,84,1,,,3629,Industriels-Chefs entreprise,64,,20.1,31,null,6.4,1408.18744557729,,,5,3
Neuville-les-Dames,84,1,,,1528,Agriculteurs propriétaires exploit.,50,,22,13,null,5.4,935.691204188482,,,5,3
Neuville-sur-Ain,84,1,,,1773,Autres cadres (secteur privé),62,,15.3,17,null,5.2,744.928556119571,,,5,3
Les Neyrolles,84,1,,,648,Retraités salariés privés,71,,16.2,5,null,3.8,1165.27296296296,,,5,3
Neyron,84,1,,,2556,Retraités des entreprises publiques,78,,17.4,37,null,17.1,750.762100938967,,,2,2
Niévroz,84,1,,,1605,Contremaitres,61,,12,15,null,6.9,1026.68082242991,,,3,3
Nivollet-Montgriffon,84,1,,,120,Agriculteurs propriétaires exploit.,67,,16.8,2,null,4.3,1672.29333333333,,,6,4
Oncieu,84,1,,,99,Cadres (entreprises publiques),65,,27.4,1,null,2.9,1834.84686868687,,,6,4
Ordonnaz,84,1,,,147,Retraités salariés privés,74,,24.1,2,null,1.9,1861.58401360544,,,6,4
Ornex,84,1,,,4564,Retraités salariés privés,75,divers droite,11.6,42,null,26.7,1308.19673970202,,,2,2
Outriaz,84,1,,,269,Retraités salariés privés,74,,20.5,3,null,3.5,2073.90665427509,,,5,3
Oyonnax,84,1,,,23150,Retraités salariés privés,68,,17.8,219,01031,4,1740.60754816415,48,0.2,2,2
