"nom","nb_publi","ouvre_data","code_region","code_departement","nb_ptf","nb_datagouv","pop_insee","CSP_chef","age_chef","partis_po_chef","part_plus65","nb_crea_entps","flux_migration_res","part_diplomes","depenses_hab","nb_etudiants","part_etudiants","niveau_rural","densite","obligation_ouvrir"
"Buellas",0,0,84,1,0,0,1814,"Agriculteurs propriétaires exploit.",67,NA,19.8,11,NA,9.1,1172.14752480706,NA,NA,3,3,0
"La Burbanche",0,0,84,1,0,0,71,"Contremaitres",63,NA,16.9,3,NA,7.7,2948.09,NA,NA,6,4,0
"Ceignes",0,0,84,1,0,0,264,"Enseignants 1er deg.-directeurs école",60,NA,9.4,3,NA,7.7,785.370378787879,NA,NA,6,4,0
"Cerdon",0,0,84,1,0,0,798,"Retraités agricoles",72,NA,21.2,14,NA,5,1493.88359649123,NA,NA,5,3,0
"Certines",0,0,84,1,0,0,1573,"Contremaitres",58,NA,13.9,18,NA,7,1322.58999364272,NA,NA,3,3,0
"Cessy",0,0,84,1,0,0,4955,"Pharmaciens",58,NA,8.7,53,NA,20.2,1393.03594349142,NA,NA,2,2,1
"Ceyzériat",0,0,84,1,0,0,3203,"Autres cadres (secteur privé)",62,NA,20.4,22,NA,10.6,926.334767405557,NA,NA,3,3,0
"Ceyzérieu",0,0,84,1,0,0,1038,"Retraités salariés privés",74,NA,24.1,11,NA,9.2,817.7291522158,NA,NA,5,3,0
"Chalamont",0,0,84,1,0,0,2438,"Professeurs du secondaire et techn.",60,NA,18.9,20,NA,4.7,1201.8008121411,NA,NA,4,3,0
"Chaleins",0,0,84,1,0,0,1329,"Industriels-Chefs entreprise",80,NA,10.5,19,NA,4,621.802242287434,NA,NA,4,3,0
"Chaley",0,0,84,1,0,0,138,"Autres cadres (secteur privé)",72,NA,33.1,0,NA,6.2,2009.35565217391,NA,NA,6,4,0
"Challes-la-Montagne",0,0,84,1,0,0,195,"Salariés du secteur médical",65,NA,19.2,0,NA,3.4,1167.83692307692,NA,NA,6,4,0
"Challex",0,0,84,1,0,0,1467,"Sans profession déclarée",56,NA,16,7,NA,17.1,1343.47379004772,NA,NA,2,2,0
"Champagne-en-Valromey",0,0,84,1,0,0,850,"Agriculteurs propriétaires exploit.",68,NA,31.9,5,NA,5.7,1174.4082,NA,NA,5,3,0
"Champdor-Corcelles",0,0,84,1,0,0,672,"Agriculteurs propriétaires exploit.",51,NA,20.7,1,NA,3.9,1751.75873511905,NA,NA,5,3,0
"Champfromier",0,0,84,1,0,0,744,"Commercants",62,NA,19.9,6,NA,4.1,2266.8736155914,NA,NA,5,3,0
"Chanay",0,0,84,1,0,0,647,"Retraités fonct.publique (sf enseig.)",63,NA,12.5,3,NA,8.2,1402.74826893354,NA,NA,4,3,0
"Chaneins",0,0,84,1,0,0,913,"Industriels-Chefs entreprise",51,NA,13.4,11,NA,4.8,1397.06519167579,NA,NA,5,3,0
"Chanoz-Châtenay",0,0,84,1,0,0,851,"Agents technique et techniciens",52,NA,13.7,5,NA,5.2,647.81089306698,NA,NA,4,3,0
"La Chapelle-du-Châtelard",0,0,84,1,0,0,392,"Agriculteurs propriétaires exploit.",61,NA,14.6,4,NA,4.3,600.232551020408,NA,NA,4,3,0
"Charix",0,0,84,1,0,0,295,"Fonctionnaires de catégorie C",56,NA,20.4,6,NA,6.8,1452.93674576271,NA,NA,4,4,0
"Charnoz-sur-Ain",0,0,84,1,0,0,951,"Professeurs de faculté",72,NA,11.5,10,NA,9.8,1113.0531019979,NA,NA,3,3,0
"Château-Gaillard",0,0,84,1,0,0,2138,"Industriels-Chefs entreprise",66,NA,12.6,22,NA,5.3,1639.1826847521,NA,NA,4,3,0
"Châtenay",0,0,84,1,0,0,342,"Agriculteurs propriétaires exploit.",49,NA,22.2,3,NA,7.6,1232.60108187135,NA,NA,6,4,0
"Châtillon-la-Palud",0,0,84,1,0,0,1649,"Retraités salariés privés",73,NA,17.1,22,NA,6.5,1161.6906852638,NA,NA,4,3,0
"Châtillon-sur-Chalaronne",0,0,84,1,0,0,5095,"Journalistes et autres médias",54,NA,27.2,61,NA,4.9,1926.41808832188,NA,NA,5,3,1
"Chavannes-sur-Reyssouze",0,0,84,1,0,0,764,"Retraités agricoles",72,NA,20.1,3,NA,3,830.009384816754,NA,NA,4,3,0
"Nivigne et Suran",0,0,84,1,0,0,816,"Agriculteurs propriétaires exploit.",60,NA,15.8,5,NA,6.4,1327.76262254902,NA,NA,3,4,0
"Chaveyriat",0,0,84,1,0,0,1036,"Agents technique et techniciens",64,NA,14.6,7,NA,3,1032.24075289575,NA,NA,3,3,0
"Chazey-Bons",0,0,84,1,0,0,1113,"Ingénieurs",61,NA,19.7,9,NA,3.6,835.68008984726,NA,NA,5,3,0
"Chazey-sur-Ain",0,0,84,1,0,0,1549,"Retraités fonct.publique (sf enseig.)",73,NA,14.6,13,NA,7.7,821.416920593932,NA,NA,4,3,0
"Cheignieu-la-Balme",0,0,84,1,0,0,142,"Agents technique et techniciens",63,NA,36.6,5,NA,2.7,1582.92183098592,NA,NA,6,4,0
"Chevillard",0,0,84,1,0,0,162,"Autres cadres (secteur privé)",60,NA,15.4,0,NA,5.8,1494.34320987654,NA,NA,6,4,0
"Chevroux",0,0,84,1,0,0,974,"Autres cadres (secteur privé)",59,NA,13.4,9,NA,2.4,710.01887063655,NA,NA,4,3,0
"Chevry",0,0,84,1,0,0,1700,"Retraités salariés privés",73,NA,8.6,10,NA,21,1855.9682,NA,NA,2,2,0
"Chézery-Forens",0,0,84,1,0,0,471,"Retraités fonct.publique (sf enseig.)",64,NA,17.8,3,NA,5.6,2623.79422505308,NA,NA,5,3,0
"Civrieux",0,0,84,1,0,0,1684,"Retraités de l'enseignement",72,NA,12.4,30,NA,11.7,879.517345605701,NA,NA,3,3,0
"Cize",0,0,84,1,0,0,174,"Agriculteurs propriétaires exploit.",56,NA,22.3,0,NA,3,980.760287356322,NA,NA,3,4,0
"Cleyzieu",0,0,84,1,0,0,137,"Retraités de l'enseignement",71,NA,22.2,3,NA,7.6,4408.28547445255,NA,NA,6,4,0
"Coligny",0,0,84,1,0,0,1212,"Artisans",59,NA,31.1,14,NA,4.2,1166.64150165017,NA,NA,3,3,0
"Collonges",0,0,84,1,0,0,2272,"Retr.artis.commerc.chefs d'entrep.",74,NA,9.4,20,NA,12.1,1118.43221390845,NA,NA,4,3,0
"Colomieu",0,0,84,1,0,0,132,"Retraités des professions libérales",75,NA,21.2,0,NA,7.3,1123.80022727273,NA,NA,6,4,0
"Conand",0,0,84,1,0,0,122,"Retraités salariés privés",68,NA,21.2,3,NA,5.1,1356.06655737705,NA,NA,6,4,0
"Condamine",0,0,84,1,0,0,451,"Retraités salariés privés",69,NA,9.3,3,NA,4.9,696.477583148559,NA,NA,5,3,0
"Condeissiat",0,0,84,1,0,0,832,"Retraités salariés privés",72,NA,16.3,2,NA,6.1,941.713605769231,NA,NA,4,3,0
"Confort",0,0,84,1,0,0,631,"Retraités des entreprises publiques",67,NA,25.2,7,NA,6.4,1712.03472266244,NA,NA,4,3,0
"Confrançon",0,0,84,1,0,0,1360,"Retraités fonct.publique (sf enseig.)",67,NA,13,12,NA,3.1,1144.56880147059,NA,NA,3,3,0
"Contrevoz",0,0,84,1,0,0,515,"Retraités fonct.publique (sf enseig.)",69,NA,24.7,3,NA,3.7,958.83040776699,NA,NA,5,3,0
"Conzieu",0,0,84,1,0,0,154,"Retraités des entreprises publiques",78,NA,16.6,1,NA,7.8,2100.18071428571,NA,NA,6,4,0
"Corbonod",0,0,84,1,0,0,1290,"Retraités fonct.publique (sf enseig.)",75,NA,20.2,13,NA,4.5,1261.48241860465,NA,NA,5,3,0
"Corlier",0,0,84,1,0,0,114,"Fonctionnaires de catégorie C",58,NA,13.8,2,NA,5.7,1216.88342105263,NA,NA,6,4,0
"Cormoranche-sur-Saône",0,0,84,1,0,0,1153,"Autres cadres (secteur privé)",65,NA,18.9,5,NA,4.6,760.653850823938,NA,NA,4,3,0
"Cormoz",0,0,84,1,0,0,677,"Artisans",67,NA,22.7,8,NA,2.4,854.988493353028,NA,NA,4,3,0
"Corveissiat",0,0,84,1,0,0,636,"Fonctionnaires de catégorie C",64,NA,17.3,8,NA,4.6,1051.93205974843,NA,NA,4,3,0
"Courmangoux",0,0,84,1,0,0,514,"Employés (secteur privé)",62,NA,25,4,NA,4.7,732.60813229572,NA,NA,3,3,0
"Courtes",0,0,84,1,0,0,312,"Fonctionnaires de catégorie A",50,NA,17.9,4,NA,2.8,764.753814102564,NA,NA,5,3,0
"Crans",0,0,84,1,0,0,267,"Ingénieurs",69,NA,21.9,4,NA,6.2,1128.04700374532,NA,NA,4,4,0
"Bresse Vallons",0,0,84,1,0,0,2307,"Cadres supérieurs (secteur privé)",50,NA,12.8,17,NA,4.3,1452.6818118769,NA,NA,3,3,0
"Cressin-Rochefort",0,0,84,1,0,0,404,"Cadres supérieurs (secteur privé)",56,NA,16.6,4,NA,4.6,1546.67834158416,NA,NA,5,3,0
"Crottet",0,0,84,1,0,0,1784,"Retr.artis.commerc.chefs d'entrep.",74,NA,18,17,NA,4.7,742.406989910314,NA,NA,3,3,0
"Crozet",0,0,84,1,0,0,2193,"Employés (secteur privé)",68,NA,11.2,19,NA,23.9,1100.10443228454,NA,NA,2,2,0
"Cruzilles-lès-Mépillat",0,0,84,1,0,0,880,"Ingénieurs",67,NA,15.9,9,NA,3.6,989.760670454545,NA,NA,4,3,0
"Culoz",0,0,84,1,0,0,3109,"Fonctionnaires de catégorie C",57,NA,19.6,28,NA,3.4,1651.08961724027,NA,NA,5,3,0
"Curciat-Dongalon",0,0,84,1,0,0,448,"Fonctionnaires de catégorie B",64,NA,26.8,0,NA,1.2,594.485424107143,NA,NA,4,3,0
"Curtafond",0,0,84,1,0,0,788,"Retraités salariés privés",70,NA,22.1,8,NA,2.8,1042.40760152284,NA,NA,3,3,0
"Cuzieu",0,0,84,1,0,0,449,"Retraités salariés privés",75,NA,21.9,4,NA,4.3,506.358663697105,NA,NA,5,3,0
"Dagneux",0,0,84,1,0,0,4768,"Autres retraités",67,NA,13.3,50,NA,8.2,1042.81754404362,NA,NA,2,2,1
"Divonne-les-Bains",0,0,84,1,0,0,9692,"Ingénieurs",42,NA,15.4,100,NA,27.2,2068.02097090384,NA,NA,2,2,1
"Dompierre-sur-Veyle",0,0,84,1,0,0,1185,"Retraités fonct.publique (sf enseig.)",70,NA,17.1,16,NA,5.6,761.372700421941,NA,NA,4,3,0
"Dompierre-sur-Chalaronne",0,0,84,1,0,0,441,"Autres cadres (secteur privé)",61,NA,11.4,3,NA,6.7,941.323378684807,NA,NA,5,3,0
"Domsure",0,0,84,1,0,0,488,"Fonctionnaires de catégorie A",42,NA,21.2,3,NA,3,710.197090163934,NA,NA,4,4,0
"Dortan",0,0,84,1,0,0,1890,"Retraités de l'enseignement",62,NA,17.3,9,NA,3.8,908.341878306878,NA,NA,3,3,0
"Douvres",0,0,84,1,0,0,1078,"Retraités des entreprises publiques",68,NA,14.2,8,NA,9.2,831.511178107607,NA,NA,5,3,0
"Drom",0,0,84,1,0,0,222,"Fonctionnaires de catégorie B",63,NA,13.1,2,NA,8.1,898.178333333333,NA,NA,3,4,0
"Druillat",0,0,84,1,0,0,1175,"Ingénieurs",59,NA,23.1,13,NA,4.3,579.686289361702,NA,NA,4,3,0
"Échallon",0,0,84,1,0,0,780,"Retraités salariés privés",68,NA,17.7,8,NA,3.7,1754.68521794872,NA,NA,4,3,0
"Échenevex",0,0,84,1,0,0,2247,"Retraités des professions libérales",73,NA,11,23,NA,30.4,1145.12806853583,NA,NA,2,2,0
"Évosges",0,0,84,1,0,0,148,"Retr.artis.commerc.chefs d'entrep.",71,NA,18.8,0,NA,0,1838.77743243243,NA,NA,6,4,0
"Faramans",0,0,84,1,0,0,813,"Agriculteurs propriétaires exploit.",64,NA,13.2,7,NA,5.5,1165.20560885609,NA,NA,3,3,0
"Fareins",0,0,84,1,0,0,2253,"Retraités des entreprises publiques",65,NA,19.3,25,NA,8,675.897021748779,NA,NA,4,3,0
"Farges",0,0,84,1,0,0,1028,"Fonctionnaires de catégorie C",59,NA,12.1,13,NA,14.1,1319.22741245136,NA,NA,4,3,0
"Feillens",0,0,84,1,0,0,3372,"Employés (secteur privé)",62,"divers droite",20.5,36,NA,5.6,1008.93681494662,NA,NA,3,3,0
"Ferney-Voltaire",0,0,84,1,0,0,9800,"Fonctionnaires de catégorie B",65,"Union des démocrates et indépendants",12.7,131,1313,29.2,2554.31705510204,49,0.5,2,2,1
"Flaxieu",0,0,84,1,0,0,69,"Retraités de l'enseignement",65,NA,21.5,0,NA,8.7,1454.13550724638,NA,NA,5,3,0
"Foissiat",0,0,84,1,0,0,2100,"Retraités agricoles",75,NA,19.2,20,NA,2.6,483.147223809524,NA,NA,4,3,0
"Francheleins",0,0,84,1,0,0,1606,"Autres cadres (secteur privé)",60,NA,11.2,16,NA,4.7,449.641419676214,NA,NA,5,3,0
"Frans",0,0,84,1,0,0,2388,"Professeurs du secondaire et techn.",65,NA,15.7,29,NA,6.4,839.87899078727,NA,NA,2,2,0
"Garnerans",0,0,84,1,0,0,680,"Ingénieurs conseils",60,NA,18,4,NA,4.9,554.407941176471,NA,NA,4,3,0
"Genouilleux",0,0,84,1,0,0,619,"Retr.artis.commerc.chefs d'entrep.",74,NA,11.5,4,NA,5.6,541.904458804523,NA,NA,2,2,0
"Béard-Géovreissiat",0,0,84,1,0,0,1066,"Agents technique et techniciens",53,NA,8.6,8,NA,3.5,680.363621013133,NA,NA,2,2,0
"Géovreisset",0,0,84,1,0,0,937,"Retraités salariés privés",73,NA,14.3,7,NA,4.9,1000.42829242263,NA,NA,2,2,0
"Gex",0,0,84,1,0,0,12894,"Autres cadres (secteur privé)",52,"divers droite",9.7,132,NA,15.6,1434.21918566775,NA,NA,2,2,1
"Giron",0,0,84,1,0,0,184,"Propriétaires",58,NA,16.8,3,NA,7,2171.46907608696,NA,NA,6,4,0
"Gorrevod",0,0,84,1,0,0,882,"Retr.artis.commerc.chefs d'entrep.",80,NA,19.9,5,NA,4.2,860.037653061224,NA,NA,4,3,0
"Grand-Corent",0,0,84,1,0,0,181,"Agriculteurs propriétaires exploit.",70,"Parti radical de gauche",27.9,1,NA,7.2,831.209944751381,NA,NA,3,4,0
"Grièges",0,0,84,1,0,0,1942,"Employés (secteur privé)",63,NA,20.8,10,NA,4.3,591.557863027806,NA,NA,3,3,0
"Grilly",0,0,84,1,0,0,827,"Employés (autres entrep. publiques)",51,NA,17.7,11,NA,24.4,1759.85678355502,NA,NA,4,3,0
"Groissiat",0,0,84,1,0,0,1256,"Agents généraux d'assurances",69,NA,18,13,NA,4.5,876.118089171975,NA,NA,3,3,0
"Guéreins",0,0,84,1,0,0,1461,"Retraités salariés privés",70,NA,16.7,20,NA,3.9,867.264982888433,NA,NA,2,2,0
"Hautecourt-Romanèche",0,0,84,1,0,0,806,"Fonctionnaires de catégorie C",46,NA,20.6,0,NA,4,449.113312655087,NA,NA,3,3,0
"Plateau d'Hauteville",0,0,84,1,0,0,5025,"Employés (secteur privé)",58,NA,27.5,29,NA,4.6,1486.82871641791,159,3.2,5,3,1
"Haut Valromey",0,0,84,1,0,0,727,"Ouvriers (secteur privé)",55,NA,25,12,NA,8.1,3936.82954607978,NA,NA,6,4,0
"Illiat",0,0,84,1,0,0,632,"Autres retraités",73,NA,16.8,8,NA,3.4,656.451962025316,NA,NA,5,3,0
"Injoux-Génissiat",0,0,84,1,0,0,1181,"Employés (autres entrep. publiques)",60,NA,13.1,7,NA,6.8,2110.81766299746,NA,NA,4,3,0
"Innimond",0,0,84,1,0,0,101,"Industriels-Chefs entreprise",57,NA,29.2,1,NA,7,1466.08188118812,NA,NA,6,4,0
"Izenave",0,0,84,1,0,0,166,"Agents technique et techniciens",56,NA,22.4,2,NA,2.4,1448.50126506024,NA,NA,6,4,0
"Izernore",0,0,84,1,0,0,2318,"Retraités des entreprises publiques",73,NA,14.2,14,NA,4.4,2009.72283433995,NA,NA,4,3,0
"Izieu",0,0,84,1,0,0,244,"Agriculteurs propriétaires exploit.",56,NA,26.6,1,NA,7.3,1341.62032786885,NA,NA,5,3,0
"Jassans-Riottier",0,0,84,1,0,0,6516,"Médecins",72,NA,19.7,68,NA,4.9,1207.55174953959,NA,NA,2,2,1
"Jasseron",0,0,84,1,0,0,1814,"Cadres (entreprises publiques)",62,NA,20.9,12,NA,7.2,642.027783902977,NA,NA,3,3,0
"Jayat",0,0,84,1,0,0,1179,"Retr.artis.commerc.chefs d'entrep.",71,NA,14.4,8,NA,2.8,847.555513146734,NA,NA,3,3,0
"Journans",0,0,84,1,0,0,369,"Fonctionnaires de catégorie A",67,NA,20.6,3,NA,11.5,948.640081300813,NA,NA,3,3,0
"Joyeux",0,0,84,1,0,0,277,"Retraités agricoles",78,NA,11.9,4,NA,8.3,889.931335740072,NA,NA,4,4,0
"Jujurieux",0,0,84,1,0,0,2228,"Professeurs du secondaire et techn.",54,NA,19.4,17,NA,6.3,954.309272890485,NA,NA,5,3,0
"Labalme",0,0,84,1,0,0,214,"Employés (secteur privé)",52,NA,14.5,6,NA,3.3,3487.05308411215,NA,NA,6,4,0
"Lagnieu",0,0,84,1,0,0,7234,"Ingénieurs conseils",72,NA,19.5,57,NA,5,1068.84424937794,NA,NA,2,2,1
"Laiz",0,0,84,1,0,0,1252,"Professeurs du secondaire et techn.",68,NA,15.5,11,NA,4.8,852.906261980831,NA,NA,4,3,0
"Le Poizat-Lalleyriat",0,0,84,1,0,0,728,"Retraités salariés privés",75,NA,15.5,5,NA,6.7,1851.44987637363,NA,NA,5,3,0
"Lantenay",0,0,84,1,0,0,278,"Retraités des entreprises publiques",66,NA,18.4,2,NA,4.9,1053.83715827338,NA,NA,5,3,0
"Lapeyrouse",0,0,84,1,0,0,336,"Agriculteurs propriétaires exploit.",62,NA,11.1,6,NA,9.7,840.642827380952,NA,NA,3,4,0
"Lavours",0,0,84,1,0,0,133,"Autres professions",55,NA,33.3,2,NA,1.9,1481.98842105263,NA,NA,6,4,0
"Léaz",0,0,84,1,0,0,734,"Retraités salariés privés",69,NA,11.8,6,NA,6.8,1283.33426430518,NA,NA,4,3,0
"Lélex",0,0,84,1,0,0,229,"Cadres supérieurs (secteur privé)",64,NA,19.7,4,NA,6,5263.71017467249,NA,NA,6,4,0
"Lent",0,0,84,1,0,0,1452,"Enseignants 1er deg.-directeurs école",59,NA,18.4,14,NA,4,735.512190082645,NA,NA,3,3,0
"Lescheroux",0,0,84,1,0,0,741,"Fonctionnaires de catégorie A",49,NA,18.7,6,NA,1.1,1178.3258974359,NA,NA,4,3,0
"Leyment",0,0,84,1,0,0,1313,"Fonctionnaires de catégorie B",44,NA,10.5,10,NA,4.9,908.884714394516,NA,NA,4,3,0
"Leyssard",0,0,84,1,0,0,157,"Cadres (entreprises publiques)",63,NA,16.9,4,NA,8.4,2565.91974522293,NA,NA,4,4,0
